Asiasalat Frühjahr,AS Mischung ,AsSal
Bete Rot (D),Robuschka,BeRoD
Bete Rot (JP),Wunderlich,BeRo
Chinakohl,Granat,ChiKo
Endivie Radicchio,0,Radic
Endivie Zuckerhut,Zuckerhut,Zuck
Endiviensalat (JP),Endiviensalat (JP),EndvJP
Gemüsezwiebeln,0,GemZwie
Gemüsezwiebeln,0,GemZwie2
Grünkohl (JP),0,GrüKo
Herbstporree,0,HePo
Knoblauch,Steck Frühjahr,Kno
Kürbis BB,Blue Ballet,KüBB
Kürbis Butternut,Nutterbutter,KüBu
Kürbis Del,Delicata,KüDel
Kürbis Hkk,Red Kuri,KüHokk
Kürbis JbL,JackBiLittle,KüJabL
Kürbis SD,Sweet Dumpling ,KüSW
Kürbis Sph,Spaghettikürbis,KüSpagh
Möhren,Milan,MöMil
Möhren,Dolciva,MöDol1^
Möhren,Dolciva,MöDol2^
Pastinaken,Amorata,PastAmo
Rettich Weiss,Laurin,RettWei
Rosenkohl,Rubine (Dreschflegel),RosKo
Rübchen Frühjahr,Blanc globe a collet viollet,RüFrüh
Rübstiel Frühjahr,Namenia,RüStiFrüh
Salat 25&27,??,Sal25&27
Sellerie Knolle,Monarch,SeKnoMo
Sellerie Knolle,Hochdahler Markt,SeKnoMo
Spitzkohl,Filderkraut,FilKo
Spitzkohl (JP),0,SpiKo
Steckrübe (JP),0,SteKo
Wirsing (JP),0,WiKo
Zwiebeln Gelb,JP Wunderlich,ZwieGeJP
Zwiebeln Rot,JP Wunderlich,ZwieRoJP
